Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0.0398889,0,3.3,22.2
0,0,0,7.9,13.2
1,0,0,3.8,21.5
1,0.0006678,0,6.6,23.6
1,0,0,16.4,22.6
1,0,0,0,20.3
1,0,0,2.8,29.9
1,0,0,0,20.9
0,0.0080386,0,0,30.3
1,0.0113408,1,19.3,25.9
1,0.007483,0,0,33.4
1,0.0033793,0,6.5,30.1
1,0,1,18.6,37.7
1,0,0,0,38.3
1,0,0,9.1,30.6
1,0.0024795,0,7.9,27.7
1,0.0021252,0,7.8,28.2
1,0.0021653,0,6.3,36.3
1,0.0012356,0,5.9,27.7
1,0.0066746,0,9.9,24.4
1,0.0033203,0,11.9,25.7
1,0.0028963,0,5.1,20.8
1,0.0009542,0,2.2,20.4
0,0.0029373,0,1.9,20.3
0,0,0,0,30.2
1,0.0019386,0,5.1,31.2
1,0.0028096,0,7.1,22.1
1,0.0041347,0,1.2,23.5
1,0.0036585,0,1.3,27
1,0.0150646,0,10.2,24.6
1,0,0,2,16.2
1,0.0015337,0,13.5,14
1,0,0,3.8,12.7
0,0.0033085,0,4.6,23.6
0,0,0,1.8,29.2
0,0.0123731,0,14.3,28
0,0,0,6,31.6
0,0.0279458,0,2.2,33.4
1,0.0010507,0,6,12.2
1,0,0,7.1,13.6
1,0.0185814,0,0,12.5
1,0.0674157,0,4.1,33.6
1,0.0008795,0,6.1,13.5
1,0,0,10.4,26.3
0,0.0012441,0,4.5,16.6
0,0.0018927,0,3.4,11.4
1,0.0172796,1,7.9,12.5
1,0.0007742,0,5.7,21.9
1,0.0146739,0,4.3,27.7
1,0.0007591,1,3.5,14.1
1,0.0113414,0,9.5,20.2
1,0,0,6.8,18.9
0,0.0057507,0,12.9,21
0,0.0005637,0,7.9,16.8
0,0.0034046,0,17,15.8
0,0.0228881,0,4.4,17.3
1,0.0028577,0,11.5,15.2
0,0,0,100,7.7
0,0.020687,0,0,4.4
0,1,0,0,17.4
0,0.003647,0,3.6,16
1,0.1114269,0,0,25.1
1,0.016693,0,1.2,23
0,0.0024362,0,7.2,12.6
1,0,0,14.3,9
0,0.0033526,0,5.3,10.3
1,0.0016268,0,9,17.2
0,0,0,0,24.2
0,0,0,0,15.4
1,0.0002522,0,6.9,10.5
1,0.0015869,1,5.5,32
1,0,0,3.1,23.4
0,0.047619,0,0.9,27.4
1,0.0248821,1,17.1,28
0,0,0,12.6,20
0,0,0,4.4,24.3
1,0.158131,0,6.9,27.6
1,0.0557076,0,7.1,31.3
1,0.0073954,0,9.6,29.8
1,0.0054222,0,6.7,27
1,0.1388693,1,9,29.3
1,0.0234279,1,9.9,30.8
1,0.0201493,0,0,34.6
1,0.027635,0,11.3,27.3
0,0.0013796,0,8,19.1
1,0.1798171,0,3.9,24.9
1,0.0055118,0,5.2,35.1
0,0.1429791,1,7,27.4
1,0.0182556,0,9.8,31
0,0.0038141,0,17.9,35
0,0.0090513,0,6.3,25
0,0,0,0.6,26.1
1,0.0059653,0,9.1,31.1
1,0.0085908,0,2.9,31.4
1,0,0,7.7,25.4
0,0,0,5,38.2
0,0.0354467,1,12.3,32.2
0,0.0332288,0,5.5,25.2
1,0.0269137,0,13.3,25.3
0,0.0004827,0,3.7,27.9
1,0.000456,0,0,32.1
0,0.0239148,1,8.2,28.2
0,0,0,6.6,29.7
0,0.0337945,0,10.5,31.1
0,0.0370191,0,2.5,35.3
0,0.0059191,0,6.2,25.8
0,0.9050207,0,0,15.1
1,0,1,0,23.8
0,0,0,7.1,14.4
0,0,0,16.2,25.9
1,0.0008378,1,18.6,12
1,0.0054603,0,5.8,18.3
1,0.0177193,0,4.3,23.5
1,0.001851,0,17.9,24.2
0,0,0,3.3,32.6
1,0.0022206,0,3.3,25.1
1,0.0025733,0,10.8,22.7
0,0.0453189,0,9.4,19.6
1,0,0,2.8,27.6
1,0,0,21.6,17.8
0,0.0624283,1,8.2,18.8
1,0.0039301,0,26.7,16.2
1,0.0738126,1,12.6,19.4
1,0.0114105,1,3.2,17.3
1,0.0064624,0,3.6,19.1
1,0.0015703,0,1.8,22.2
1,0.0464066,1,7.7,34.3
0,0.0015159,0,6.7,30.9
1,0.0012767,1,7.7,22.7
1,0.0044375,0,13.5,14
1,0.0009299,0,2.4,16.1
1,0.0090817,0,10.1,18.6
1,0.0001281,0,12.4,18.9
0,0.799574,0,13.8,17.4
0,0,1,19.4,22.6
0,0,0,16.1,20
0,0.0163827,1,11.7,13.2
0,0.0029017,0,2,36.4
0,0.0710128,0,5,39.1
1,0,0,3.5,31.1
1,0.0232886,0,19.6,22.2
0,0.0354361,0,5.5,31.4
0,0.0236827,1,8.6,25.5
1,0.0120915,0,5.4,28.5
1,0,0,3.5,26.7
1,0,1,25.5,22.2
1,0,1,9.1,22.4
1,0.0159759,1,15,22.4
1,0.0004727,0,2.4,26.2
1,0.0083211,1,2,27.7
1,0,0,3.6,31.7
1,0.0014311,0,14.2,30.2
1,0.0005559,0,9.7,27
1,0.0292887,1,4,16.2
1,0,0,10.8,29.1
1,0,0,5,26.7
1,0.002994,0,8.8,33.6
1,0.0016425,0,2.6,32.8
1,0.0399202,0,1,35.7
1,0,0,4.4,30.4
1,0,0,9.3,22.4
1,0,0,12.3,24.8
1,0.0027307,1,10.7,34.6
1,0,0,1.1,31.7
1,0.0089863,1,8.9,28.5
0,0.0014152,1,5.1,23.3
1,0.0149558,0,14.1,13.9
1,0,0,15.8,12.2
1,0.0081556,1,0,13.1
1,0.0863558,0,28.3,14.2
1,0.041507,1,19.8,16.4
1,0.0209022,1,28,14
1,0.0242081,0,0,15.4
1,0.1213854,0,26.5,12.5
1,0.0589928,1,32.3,10.7
1,0.0095638,1,10.5,30.9
1,0.0277828,1,3.2,32.6
1,0.0134985,0,5.4,28.7
1,0,1,10.6,25.7
1,0.0151742,1,9.8,31.4
1,0.0246098,1,19,17.3
1,0.0324507,0,8.2,15.8
1,0.005966,1,25.3,14.5
1,0.0003079,1,0.9,9.5
1,0,0,0,11.6
0,0,0,15.5,21.7
1,0.0086604,1,0,10.4
1,0.0016954,0,15.3,21.2
1,0.0011173,0,19.1,24.3
1,0.0190868,0,8.1,28.2
1,0.1424632,0,6.5,19.4
1,0.0077042,0,2.1,23.9
1,0.002067,1,3.2,20.8
1,0,0,5.7,20.4
1,0.0019175,1,5.8,30
1,0.0151406,0,18,25.8
1,0.00481,0,7,19.4
1,0.0018683,0,8.7,25.6
1,0.0029277,0,6.4,23.3
1,0.0075391,0,11.8,28.2
1,0.0090401,0,0,24.5
1,0.0015264,0,3.9,25.1
1,0.0020632,0,1.2,25
1,0.0022463,0,8.2,34
1,0.0025507,0,12.6,19
1,0.004882,1,12.8,18.8
1,0.0040211,0,0,12.3
1,0.0033229,0,7.5,26
1,0.0250836,0,20.3,23.3
1,0.0033969,0,6.2,29.2
1,0.002189,0,13.6,18.8
1,0.0026621,0,22.3,19.3
1,0.0004522,0,15.6,24.1
1,0.0017652,0,5.2,22.5
1,0.0073883,0,2.5,28.8
1,0.0008986,1,4.2,18.4
1,0,0,2.9,35.3
1,0.0012785,0,2.1,19.2
1,0,0,9.2,20
1,0.0012384,0,6.1,18.1
0,0,0,8.1,17.5
0,0.5396342,0,0,22.4
1,0,0,11,18.8
0,0,1,5.5,32.7
1,0,0,3.2,21.5
1,0.0199805,0,14.4,20.3
1,0.031119,1,2.7,23.2
0,0,0,6.1,18.5
1,0,0,7.9,25.3
1,0.000776,0,2.5,30.3
1,0.0013677,0,4.8,29.1
1,0,0,6.1,24.5
1,0,0,8.4,31.5
1,0.006533,0,6.3,38.5
1,0.0012746,0,3.5,29.4
1,0,0,3.2,28.7
1,0.0011274,0,10.4,33.9
1,0.0070987,0,7.9,25.3
1,0.0026271,0,4.8,27.4
0,0.708,0,17.6,20.3
1,0.0806075,0,0,18.1
1,0.0089485,0,8.9,20.7
1,0,0,7.6,10.4
0,0,0,0,21.6
1,0.0008091,0,20.9,15.9
1,1,0,0,15.1
1,0,0,2.8,22.3
1,0.0007357,0,9.1,11.1
0,0,0,10.5,8.8
1,1,0,0,16.5
1,1,0,0,16.2
1,0.303692,0,6.4,13.6
1,0.1371222,0,2.3,14.1
1,0.0012343,0,68.9,3.5
1,0.0024739,1,7.2,8.8
1,0,0,4.9,14
1,0.0017966,0,13.3,12.8
1,0.0443127,0,11.5,13
1,0.0066491,0,2.9,17.6
0,0,0,0,24.7
1,0,0,5.8,19.2
0,0.0016676,1,8.2,29.4
0,0.014533,0,20.1,31.9
0,0,1,9.5,24.5
1,0.0467508,0,16.7,27.1
1,0.0150844,0,11.7,31
1,0,0,5,29.1
1,0,1,8.1,30.2
1,0.0005995,1,8.1,31.2
1,0,1,4.6,27.4
1,0,0,8.6,31.3
1,0,1,9,27.1
1,0,1,11.1,28.5
0,0,1,10.1,15.9
0,0.1028751,0,5.6,39.6
1,0,0,2.5,30.5
1,0.0006776,0,2.2,27.4
1,0,1,19.6,24.6
0,0.999492,0,0,16.9
1,0,0,7.1,28.5
0,0.0006246,0,11.3,28.7
1,0,0,8.3,27.3
0,0.0058458,0,2.2,32.1
0,0.0001679,0,1.3,32.9
1,0.0029042,1,6.9,33.3
1,0.012513,0,11.9,5.5
1,0.0017185,0,0,10.7
1,0.032967,0,4.8,7.7
1,0.0309552,0,0,11.4
1,0,0,23.7,7.8
1,0,0,0,6.2
1,0.0001717,0,30.7,8.8
1,0,0,18.9,4.3
0,0.5073758,0,27.7,29.8
0,0.0023141,0,6.7,20.9
0,0,0,4,21.7
1,0.2609455,0,9.9,43.9
1,0.0015152,0,10.3,19.6
1,0,0,9.6,24.2
1,0.0006128,0,4.6,29.2
1,0.0017513,0,5.3,24.6
1,0,0,6.9,23.6
1,0,0,1.1,25.6
1,0.0007047,0,7.1,36.8
1,0,0,13,32.3
1,0.0009128,0,13.7,23.6
1,0,1,17.1,25
1,0.047164,0,7.3,29.4
1,0.0775862,0,4.2,30.4
1,0.0345841,0,3.8,22.4
1,0.0007019,0,5,17.7
1,0.0057463,1,17.6,12.1
0,0,0,6.7,22.8
1,0.0013294,0,20.8,17.4
1,0,0,18,16.7
1,0.0029362,0,4.5,9.3
1,0.0248972,0,5.4,20.5
0,0.0064216,0,8,11.9
1,1,0,0,12.9
1,0,0,2.8,13
1,1,0,0,14.3
0,0.0112144,0,6.3,27.5
0,0.0709828,0,8.2,29.5
1,0.0138141,0,2.9,30.1
0,0.0108628,1,32.8,22.2
1,0.0051794,1,0,26.1
0,0,1,2,35.6
0,0.0633203,1,0,28.5
1,0.0007446,0,24.4,24.3
1,0.0076019,0,16,27.7
1,0.0377893,0,6.9,24.4
0,0.0183199,0,15.7,37.9
0,0.0034739,1,19.2,23.7
0,0.0023286,0,12.1,21.9
0,0.0009381,0,6.9,35.4
0,0.0062046,1,8.5,31.4
0,0.0477497,0,0,24
0,0,0,8.9,39.7
0,0.0024876,0,5.1,35.5
0,0.0793695,1,3.1,36.3
1,0.057246,0,0,28.4
1,0,0,4.2,31.8
0,0.8657398,0,8.3,23.7
0,0.0024899,0,2.4,28.4
0,0.295689,0,15.4,26.6
1,0.0186007,0,6.6,24.6
1,0,0,9.5,27.1
1,0.009182,1,3.9,24.1
1,0.0005947,0,13.1,19.5
1,0.0116694,0,7.7,20.5
1,0.0005124,0,0,17.7
1,0,0,0,22.2
1,0.058114,0,4.6,22.6
1,0,0,15,24.8
1,0.0763438,0,10.8,28.9
1,0.0037453,0,10,23.8
1,0,0,8.2,21.1
1,0.0482927,0,13.7,30.4
1,0.0023566,0,15.8,22.3
1,0.0113951,0,1.4,23.5
1,0.0283966,0,16.4,22.4
1,0.0014782,0,8.7,10.7
1,0,0,5.3,8.8
1,0.0596407,0,9.8,28.3
1,0,0,0,11.5
1,0.0015355,0,11.8,9.6
1,0.0977778,0,12.1,16.1
1,0,0,0,8
1,0.0021674,0,7.3,14
1,0,0,0,8.4
1,0,0,9,10.6
1,0.000309,0,0,7.6
1,0,0,0,7.8
1,0.0013617,0,0,6.7
1,0,0,0,5.4
1,0.0011882,0,0,4.5
1,0,0,6.3,7.5
1,0,0,0,17.5
1,0,0,8.2,11.1
1,0,0,19.7,11.4
1,0,0,0,11.4
1,0,0,3,28.1
1,0.0012597,0,7.8,21.7
1,0.0041532,0,6.3,27.9
1,0.0271402,0,3.1,21.2
1,0.0332093,0,6,22.8
1,0.0078231,0,4.9,16.3
1,0.0018301,0,4.6,13.2
1,0.0032779,0,7.7,25.9
1,0.0032245,0,6.7,17.2
1,0.0988749,0,15.9,13.8
1,0.0034652,0,8.1,16.4
1,0.0839859,0,8.3,19.6
1,0.0023985,0,6.1,15.4
0,0.0097348,0,4.8,19.5
1,0.0033865,0,5.1,13.7
1,0.002158,0,13,18.4
1,0.0145241,0,9.2,29.7
1,0.0009259,0,3.7,18.1
1,0.0038359,0,9.3,17.2
1,0.0441767,0,3.2,15.4
1,0,0,16.1,17.2
1,0,0,7.4,13.8
1,0,0,0,12.7
1,0.0011103,0,5.3,14.7
1,0.003139,0,2.5,24.4
1,0.0034985,0,0,10.8
1,0,0,9.4,19.9
1,0,0,5,15.1
1,0,0,7.5,13.8
1,0,0,18.1,19.9
1,0.079053,0,0,14.8
1,0.0029974,0,0,21.4
1,0.0100486,0,2.5,20.7
1,0.0016129,0,3.5,20.9
1,0.0020916,0,0,13.9
1,0.0013944,0,3.1,20.6
1,0.0032926,0,1.8,22.4
1,0,0,8.4,24.1
1,0.0133541,0,2.3,16.3
1,0.0107338,0,1.8,23.3
1,0.0114017,0,8.1,22.5
1,0.0043988,0,3.4,33
1,0.0193746,0,5.8,24.6
1,0.0010241,0,9.6,17.5
1,0,0,0,19.1
1,0.0093541,0,2.3,27.5
1,0.0087484,0,5.4,20
1,0.0432511,1,13.7,22.5
1,0.0060847,0,12.9,17.9
1,0.054525,0,3.2,18.5
1,0.0042433,0,29.8,28.7
1,0.0126749,0,5.4,22
1,0.0417074,0,7.9,23.5
1,0.0280352,0,2.4,24
1,0,0,0,27.8
1,0.0516179,0,19.8,25.7
1,0,1,8.8,23.8
1,0.0145704,0,8.9,25.8
1,0,0,12.2,29
1,0,0,3.4,23
1,0.0159019,0,9.2,28.1
1,0.0396905,0,7.6,24.2
1,0.0047506,0,10.3,23.7
1,0.0286293,0,8.6,15.8
1,0.0167779,0,7.8,29.2
1,0.0026191,0,1.8,19.1
1,0.0062737,0,0,18.1
1,0.0019818,0,5.8,20.6
1,0.9715418,0,0,18.5
1,0.0054005,1,9.1,22.6
1,0.005282,1,1.3,22
1,0.0012428,0,3.5,25.1
1,0.0086622,0,4.6,20.8
1,0.0025282,0,27.8,12.9
1,0.0022507,0,0,15.9
1,0.0025094,0,11.8,23
1,0.0233436,0,5.4,25.8
1,0.000834,0,1,17
1,0.0019004,0,0,22.1
1,0.0282629,0,5.2,14.4
1,0.0194253,0,3.2,21.2
1,0.0067515,0,13.1,17.4
1,0.008954,0,5.7,30.6
1,0.0233485,0,6.8,24
1,0.0231362,0,8.5,28.1
1,0.0011621,0,19.2,7.2
1,0,0,19.1,15.8
1,0,0,3.3,18.4
1,0,0,11.3,15.4
1,0.0192498,0,14.3,15.6
1,0,0,3,11.8
1,0.0022288,0,9.4,14.4
1,0.0018031,0,15.7,13.3
1,0.001692,0,0,18.3
1,0.0025494,0,7.9,10.6
1,0.0392663,0,14.3,15.2
1,0,0,15.4,12.8
1,0,0,0,7.2
1,0,0,3.2,21.1
1,0,0,8.5,17.5
1,0.0032083,0,1.4,16.7
1,0.0051536,0,5.2,12.5
1,0.0022921,0,3.3,18.7
1,0.0052632,0,2.1,20.4
1,0.0007032,0,0,11.5
1,0,0,12.4,8.7
1,0,0,28.6,9.7
1,0,0,0,1.8
1,0.0051948,0,4.5,16.5
1,0,0,0,7.8
1,0.0219606,0,4.8,13.8
1,0,0,5.3,15.6
1,0,0,2.9,16.4
1,0,0,3.9,25.3
1,0.0149872,0,1.7,21
1,0.0020044,0,7.8,19.7
1,0.0021385,0,7.8,17.4
1,0,0,9.9,19.7
1,0.0058802,0,19.3,22
1,0.0435618,0,12.8,18.3
1,0,0,0,6.6
1,0.0020782,0,0,16.6
1,0.0083195,0,0,19.6
1,0,0,11.7,16.2
1,0.1347518,0,6.1,23.6
1,0.0029197,0,8.7,16.8
1,0.0080793,0,4.2,20.1
1,0.0032,0,4.6,16.3
1,0.000706,0,0,12.2
1,0.0299303,0,18.5,19.5
1,0.0012074,0,22.2,11.7
1,0.0342646,1,18.7,12.2
1,0.0027723,1,2.5,14.6
1,0,0,9.8,4.2
1,0,0,12.1,14.4
1,0,0,12.5,26
1,0.0267624,0,21.9,22.8
1,0.0002656,0,0,12.6
1,0,0,10.8,14.1
1,0.0003781,0,0,11.5
1,0,1,11.1,16.8
1,0.0021935,0,7.7,16.9
1,0,0,19.4,17.6
1,0.0021336,0,16.2,16.4
1,0.0221333,0,6.9,18.9
1,0.0032342,0,2.9,13.3
1,0.0206186,0,16.9,16.9
1,0.0003896,0,0,19.3
1,0.0228228,0,20.5,21.8
1,0.0048019,0,8.4,20.9
1,0.0012154,0,6.5,27.2
1,0.000904,0,11.2,18.8
1,0.0024444,0,3.8,15.7
1,0,0,9.3,14.4
1,0.0015385,0,12.2,25.7
1,0.0050719,0,8.2,23.4
1,0,0,0,16.7
1,0,0,9.4,19.3
1,0.0041385,0,16.7,18.8
1,0.0014261,0,2.3,25.1
1,0.0021834,0,5.8,26.2
1,0.0267014,1,2.4,23.4
1,0.0150766,0,2,24.6
1,0.0045324,0,8.5,22
1,0.0003598,0,9.2,17.8
1,0.0006404,0,8.1,21.9
1,0.0204337,0,7,28.7
1,0.0036153,0,15.5,34.9
1,0.0502759,0,23.1,21.2
1,0.0023937,0,15.7,26.2
1,0.0062429,1,8.3,19.1
1,0.0096842,0,8.4,23.1
1,0,0,11.7,17.6
1,0,1,8.1,21.3
1,0,1,14.4,27.6
1,0,0,13.3,19
1,0,0,3.1,16.4
1,0,0,11.1,26.2
1,0.0050783,0,4.9,16.4
1,0,0,5.1,16
1,0.0005598,0,0,13.4
1,0.0166335,0,5.6,15
1,0.0034476,0,13.8,16.4
1,0.0381166,0,2.9,15.2
1,0.0020626,1,0,18.7
1,0.0128554,1,3.6,14.5
1,0.0034037,0,22.6,16.5
1,0.001361,1,13.5,21.9
1,0,0,0,23.2
1,0.0022124,0,0,15.2
1,0,0,3.5,19.8
1,0,0,10.2,12.3
1,0.0200644,0,20.9,21.3
1,0.0045767,0,15.7,25.6
1,0.1154459,0,9.1,28.7
1,0.0008703,0,0,14.6
1,0.0211784,0,5.9,21.5
1,0,0,13.7,12.1
1,0,0,8.1,15.4
1,0.0440042,0,5.4,22.5
1,0.0118208,0,0,17.3
1,0.0013285,0,9.3,27.7
1,0.018558,0,11.5,17.1
1,0.0153189,1,0,15.5
1,0.0014584,0,9.1,21.8
1,0.0049813,0,18.7,24.5
1,0.0027985,0,0,17.4
1,0.0034494,0,7.7,29.4
1,0.018975,0,8.3,26.3
1,0.0003024,1,12.3,26.7
1,0.0009249,0,7,21.7
1,0.0031839,0,6.3,17.8
1,0.0031206,1,1.8,23
1,0.0022815,0,3.6,17.4
1,0,0,2.9,25.4
1,0.0026247,0,0,30.7
1,0.005712,0,0,20.7
1,0.0220451,0,5.1,20.1
1,0.0069166,0,2,17
1,0.0048447,0,3.4,22.6
1,0,0,12.5,22.5
1,0.0026212,0,4.6,21.3
1,0.0004751,0,13.6,17.7
1,0.0015615,0,7.4,18.7
1,0.0030312,0,5.4,24
1,0.0007044,0,12.2,21.6
1,0.0001883,0,4.8,16.7
1,0.0033877,0,7.2,17.6
1,0.0884932,1,0,26
1,0.0226035,0,2.4,23.6
1,0.0002036,0,12.5,17
1,0.0049119,0,4.5,19.5
1,0.0323668,0,2.4,21.8
1,0.0326845,1,8.7,13.3
1,0.0018592,0,4.9,15.6
1,0.0059312,0,2.8,17.3
1,0.0065014,0,5.4,18.7
1,0.0295731,0,3.4,20.4
1,0.0080981,0,6.1,14.3
1,0.0058548,0,4.6,20.3
1,0.0045552,0,8.8,27.1
1,0.0175994,0,5.1,17.9
1,0.054823,0,0,20.1
1,0,0,0,12.5
1,0.0365923,0,2.2,16.1
1,0,0,13.1,27.3
1,0.0055508,0,7.4,21.5
1,0.0035149,0,2.2,23.9
1,0,0,3.3,25
1,0.0058683,0,6.6,14
1,0,0,2.7,13.6
1,0.0048053,0,4.3,30.4
1,0.0020806,0,9.3,15.8
1,0.0102307,0,2.6,21.2
1,0,0,6.4,20.1
1,0.0032584,0,13.5,20.7
1,0,0,11.1,20.9
1,0.0094514,1,10.6,23.2
1,0.0021284,0,12.6,28.5
1,0.0330202,0,17.3,15.8
1,0.0074149,0,9.6,26.4
1,0,0,0,24.4
1,0,1,5.5,23.2
1,0.0381679,0,17.4,22
1,0.0061105,0,6,24.8
1,0.0019844,0,13.9,23.7
1,0,0,2.8,19.9
1,0.0014722,0,0,23.7
1,0.0111954,0,7.2,14.5
1,0.0022085,0,16,17.1
1,0.0085293,0,4.6,18.4
1,0.0028867,0,2.9,21.6
1,0.0182699,0,2.3,20.6
1,0.0162464,0,5,15.1
1,0.0035697,0,14.7,28.6
1,0,0,0,8.8
1,0,0,11.1,14.3
1,0.0023075,0,4.8,23.9
1,0,0,14.3,20.9
1,0.015688,0,12,25.2
1,0.0228403,0,4.9,19.3
1,0.0296226,0,5.9,19.6
1,0.0007561,0,5.8,13.6
1,0.0010523,0,14.9,16.8
1,0.002993,0,6.8,18.2
1,0,0,12.7,19.7
1,0,0,9.3,19.5
1,0.0002158,0,11.2,22.7
1,0.0150407,0,6.7,17.3
1,0,0,3.3,13.8
1,0.0030581,0,0,22.2
1,0,0,0,18.6
1,0,0,12.3,17.3
1,0,0,8.4,23.4
1,0.0020913,0,17.7,15.9
1,0.0016186,0,21.7,13.3
1,0,0,16.3,23.1
1,0.0007267,0,11.1,19.1
1,0,0,10.1,18
1,0,0,17.1,16.7
1,0.0049864,0,3,17.4
1,0,0,0,16.6
1,0,0,0,21.6
1,0,0,0,20.9
1,0,0,14.9,23.1
1,0.0013358,0,14.5,26.7
1,0.0006813,0,11.1,26.7
1,0,0,15.4,20.5
1,0.001062,0,5.6,22.7
1,0.0638498,0,5,22.9
1,0,0,24.1,16.6
1,0,0,18.7,23
1,0,0,1.8,20.1
1,0,0,9.3,19.7
1,0.0017207,0,4.5,17.5
1,0,0,15,26.7
1,0.0071615,0,7.2,21.1
1,0.0085423,0,17.3,18.9
1,0.0367271,0,2,17.2
1,0,0,13.7,25.9
1,0.3405331,0,3.1,18.2
1,0.0012749,0,12.6,13.5
1,0.0020166,0,0,20.2
1,0,0,8.1,19
1,0.0204181,0,6.8,21.9
1,0.0311097,0,10.8,14.2
1,0.0017227,0,4.2,23.1
1,0,0,14,17.6
1,0.0039324,0,2.9,19.4
1,0.0283688,0,4.9,17.2
1,0,0,8.7,23.4
1,0.0162329,0,11.5,18.2
1,0.021374,0,11.8,10
1,0.0033701,0,10,13.1
1,0.000255,0,9.2,16.7
1,0.0049911,0,2.4,21
1,0.0102998,0,21,19.9
1,0,0,9.8,18.5
1,0.0420969,0,0,14.4
1,0.0002694,0,0,9.8
1,0.000625,0,10,19.7
1,0.0028694,0,5.9,17.4
1,0,0,0,9.5
1,0.0048685,0,0,17.8
1,0.0002121,0,7.2,25
1,0,0,0,22.1
1,0.0010132,0,0,16.1
1,0,0,3.5,19.1
1,0,0,4.5,12.4
1,0.0038476,0,4.9,20.3
1,0,1,27,10.4
1,0.0017247,0,0,17.3
1,0.0105221,0,5.6,11.1
1,0.0034003,1,4.4,22.2
1,0.0024585,0,18,17.4
1,0.0003193,0,0,14.7
1,0.0034204,0,5.3,25.8
1,0.0044161,1,16.8,16.6
1,0.0012232,0,7.3,24.4
1,0,0,15.8,19.3
1,0.0036765,0,17.1,17
1,0.0018228,0,13,15.7
1,0.001615,0,10.7,14.1
1,0.000911,0,2.8,23.2
1,0,0,11.5,16.6
1,0.00065,0,16.8,19.1
1,0.0037703,0,15.5,24.1
1,0.0080863,0,2.6,19.9
1,0.0102012,0,6.8,27.3
1,0,0,2.7,15.9
1,0.0022452,0,2.6,20.1
1,0.017906,0,17.5,20.2
1,0.0006035,0,24.5,21.6
1,0,0,17.7,16.5
1,0.0013274,0,11.6,14.2
1,0.0130208,0,0,16.1
1,0.0075876,0,4.8,21.2
1,0.1397213,0,10.7,12.2
1,0.0085414,0,8,24.8
1,0.0884826,0,5.6,22
1,0.0095694,0,2,18.1
1,0.0024125,0,0,8.4
1,0.0193991,0,7.9,16.7
1,0.0059013,0,0,13.6
1,0.1050607,0,10.1,20.5
1,0.0458751,0,5.3,15.8
1,0.0305316,0,27.8,15
1,0.0588359,0,14.6,11.7
1,0.0118687,1,5.2,18.2
1,0.1211276,0,23.4,20.2
1,0.210006,0,8.7,18.1
1,0.0587666,0,12.6,16.8
1,0.2317578,0,8.3,18.9
1,0.0068446,0,7.2,17.1
1,0.007533,0,10.4,22
1,0.0038676,0,4.8,19.9
1,0.0099092,0,2.4,16.4
1,0.0439906,0,14.6,12.6
1,0.0014859,0,20.2,19
1,0.0131508,0,13.9,10.6
1,0.0095513,0,8.3,13.7
1,0.0168519,0,30.1,13.9
1,0.0003095,0,13.7,11.1
1,0.0005305,0,3.4,13.4
1,0.0014294,0,23.7,16.6
1,0.0026445,0,8.8,19.3
1,0.0181818,0,13.9,15.4
1,0.0038368,0,27.4,21.3
1,0.0948905,0,13.7,18.2
1,0.0153565,0,8.8,21.2
1,0.0007145,0,9.5,15.3
1,0,0,3.8,14.1
1,0.0019247,0,5.1,22.4
1,0.0021798,0,0,9.1
1,0,0,10.6,13.6
1,0.0079745,0,5.3,16.8
1,0.0095657,0,13.9,15.3
1,0.1024765,0,0,13.5
1,0.0019411,0,50.5,14.9
1,0,0,0,18
1,0,0,13.7,27.5
1,0,0,8.7,15.4
1,0.0686713,0,5,15.8
1,0.0062969,0,9,24.6
1,0.0324006,0,10.5,9.4
1,0.0525758,0,11.5,17.5
1,0.0003529,0,15.6,20.4
1,0,0,25.3,17.7
1,0.0021855,0,10.1,22.6
1,0.0075085,0,15.4,20.6
1,0.0010058,0,1.4,19.5
1,0.0215569,0,18.8,11.4
1,0.0875693,0,12.4,16.8
1,0.0104167,0,19.7,12.8
1,0.0111073,0,2.4,18.7
1,0.0180561,0,5.5,10.1
1,0.0075672,0,4.9,10.5
1,0.0250559,0,12,17.3
1,0.0005249,0,0,10
1,0.0009025,0,17.2,12.4
1,0.0005323,0,2.4,21
1,0.0005116,0,1.9,11.1
1,0.0010799,1,21,18.5
1,0.0247934,0,3.5,12.1
1,0.0041142,0,42.4,9.6
1,0.0063131,0,22.7,9.3
1,0.0003919,0,6.9,11.4
1,0.0031583,0,18.8,8.6
1,0,1,6.1,19.7
1,0.0770925,1,16,9.7
1,0,0,0,12.6
1,0.0023095,0,20,12.4
1,0.006237,0,0,14.9
1,0.006641,0,0,9.5
1,0.0043975,0,9.2,12.7
1,0.0008879,0,6.2,12.3
1,0.0014909,1,0,13.6
1,0,0,16,8.7
1,0,0,4.9,22.6
1,0,0,0,27.3
1,0.0026148,1,12.5,13.6
1,0.0005359,1,8.9,12.9
1,0,0,6,14.1
1,0,1,5,15.5
1,0.0033924,0,5.5,28.7
1,0.0015047,0,6.9,19.7
1,0,0,30.9,12.9
1,0,0,0,14.7
1,0.0130282,0,5.6,16.7
1,0.1425486,1,13.8,16.9
1,0.0010333,1,0,11.3
1,0,1,9,19
1,0.4610664,1,21.9,10.8
1,0.0078329,1,7.2,10.6
1,0,1,7.9,12.5
1,0,1,0,12.8
1,0.0007498,0,5.9,9.9
1,0,0,4,14.1
