Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0.0248272,0,0,20.3
1,0.0108563,0,4.6,18.4
1,0.0028792,0,7.3,31.2
1,0.001638,0,1.2,19
1,0.2112377,0,10,22
0,0.0064032,0,8.2,14.8
1,0.0019172,1,13,22.6
1,0.0306763,0,16.8,25.6
1,0.0589417,0,22.6,24.7
1,0.0330891,0,3.8,21.1
1,0.0099329,0,7.8,21.8
1,0.0287638,0,11.6,15.3
1,0.057234,1,5.1,17.1
1,0.0028298,0,6.8,23.1
1,0.0033445,0,15.2,24.2
1,0.0011827,0,4.1,16.6
1,0.0057055,0,1.6,27.2
1,0.0007603,0,8,24.4
1,0.040763,0,10,14.8
1,0.0234254,0,7.8,15.9
1,0.0071003,1,8.7,20.6
1,0.0053476,0,15.1,28.5
1,0,0,22.6,25.1
1,0.0026268,0,7.2,20.1
1,0.0017502,0,13,27.4
1,0.0073082,0,0,16
1,0.0029799,0,3.9,20.2
1,0.0005949,0,11.8,21.8
1,0.0115174,0,0,17.8
1,0.0026365,0,8.6,13
1,0.0023524,0,6.5,19.8
1,0.0264989,1,5.8,17
1,0.0054645,0,10.9,20.1
1,0.0017606,0,15.9,13.3
1,0.0262809,0,6.4,17
1,0.0662108,0,26.2,14.2
1,0.0087695,0,5.6,16
1,0,0,28.6,14.9
1,0.010171,0,4.5,22.6
1,0,0,19.2,18
1,0.0070058,0,1.5,23.4
1,0.0046906,0,10.4,19.3
1,0.0022026,0,9.4,19.5
1,0.0165816,0,7.2,17.3
1,0.0059613,0,17.2,21.8
1,0.011257,0,17.2,12.8
1,0.003003,0,0,24.5
1,0.0268398,1,23,15.7
1,0.0041743,0,15.3,11.2
1,0.009163,1,14.8,19
1,0.0049208,0,7.2,17.9
1,0.0203451,0,7.1,24.1
1,0.0093726,0,4.5,10.2
1,0.0151695,0,2.7,22
1,0.0079891,1,3.4,21.6
1,0,0,17.7,13.9
1,0,0,13.1,13.7
1,0.0003522,0,5.3,16.8
1,0.0146912,0,2.8,19.7
1,0,0,8.1,11.8
1,0.0103162,0,3.8,14.7
1,0.016481,1,8.5,15.1
1,0.0052817,0,11.5,16.6
1,0.002202,0,18.4,14.1
1,0.0055826,0,4.4,16.8
1,0.0033184,0,2.8,15.9
1,0.0032486,0,7.7,14.9
1,0.0014832,0,11.5,15.9
1,0.0077937,0,4.4,10.9
1,0.0027262,0,3.1,10.9
1,0.0050201,0,0,19.8
1,0,0,9,11.4
1,0.0009975,0,0,12.1
1,0.0050428,0,0.8,20.1
1,0.0047045,0,9.1,12.4
1,0.0189618,0,14.7,23
1,0.0035367,0,9.3,12.1
1,0.004095,0,6.4,21.1
1,0.0613738,0,3,7.7
1,0,1,2.2,13.7
1,0.0006495,0,7.9,13.4
1,0,0,14.7,10.7
1,0.0004874,0,3.4,15.2
0,0.003736,0,8.4,12.2
1,0,0,6.6,11
1,0.0017455,0,0,9.2
1,0.0255242,0,2.4,16.9
1,0.0018797,0,10,18
1,0.0009595,0,2.7,18.7
1,0.033781,0,1.6,18.6
1,0.0096254,0,0,18
1,0.0234529,1,3.8,15.3
1,0.0027845,0,6.5,20.9
1,0.0067472,0,14,19.8
1,0.0026411,0,6.6,24.7
1,0.0027425,0,7.6,21
1,0.0038864,0,8.7,20.1
1,0.0019519,0,12.4,14.1
1,0.0188632,0,14.3,6.6
1,0.0124145,0,2.5,12
1,0,0,0,5.3
1,0,0,0,6
1,0,0,0,11.9
1,0,0,3.9,12.6
1,0.0023451,0,3.8,16.7
1,0.0021978,0,6.2,25.4
1,0.0027697,0,6.5,15.5
1,0.0020752,0,5.5,22.9
1,0.0073496,0,6.6,21.5
1,0.002542,0,2.1,15.8
1,0.0068698,0,5.7,22
1,0.0025205,0,11.7,16
1,0,0,0,13.2
1,0,0,14.2,17.5
1,0.6009116,0,4.3,14.7
1,0,0,8.7,20.7
1,0.0083498,0,1,24.3
1,0.0098861,0,4.5,26.9
1,0,0,0,25.5
1,0.0019116,0,4.6,22.5
0,0,0,5.1,16.5
1,0.0013758,0,7.3,21.4
1,0.005583,0,3.1,18.5
1,0.0125104,0,1.7,21.7
1,0.0043419,0,8.6,14.6
1,0.0022676,0,0,16.1
1,0.0226624,1,2.4,21.3
1,0,0,3.2,12.9
1,0.0291527,0,2.7,14
1,0,0,3.7,23.1
1,0,0,0,11.5
1,0.002277,0,7.7,19.2
1,0,0,21,9.2
1,0.0190355,0,7.1,22.7
1,0,1,18.8,19.9
1,0,0,0,11.8
1,0,0,3.3,17.1
0,0.0134162,0,3.8,22.8
1,0.0029918,0,10.3,16.5
1,0.0021228,0,5.1,22.9
0,0.0038525,0,7.8,33
1,0,0,2.5,25.4
